mes,El bien,El perdón,La felicidad,La muerte,La naturaleza,"René Descartes, Meditaciones metafísicas",Lo real,La política,"San Agustín, Confesiones",El orden,"Aristóteles, Metafísica","Thomas Hobbes, Leviatán","Friedrich Nietzsche, Así habló...",La Historia,El lenguaje,El arte,El amor,El alma II,El otro,El conocimiento II,"Martin Heidegger, El ser y el tiempo",El ser y la nada: el ser,Lo femenino,Lo religioso,El conocimiento,El poder II,La ley,La belleza,La Filosofía,"Karl Marx, Manifiesto comunista",La verdad,"Michel Foucault, Historia de la...","Immanuel Kant, Fundamentación de la...",La patria,La angustia,El alma,"Walter Benjamin, Tesis de la filosofía...",Lo humano,El tiempo,La comunidad,Dios,La identidad,El poder,El ser y la nada: la nada,"Platón, Apología de Sócrates",La amistad,"Emmanuel Lévinas, Totalidad e Infinito",Modernidad
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,39,39,39,0,0,53,0,0,39,0,0,0,53,0,0,39,0,0,0,0,0,0,0,39,39,0,39,81,0,39,0,0,0,0,0,0,39,0,53,39,39,39,0,0,39,0,39
2013-07,53,0,53,39,0,0,39,0,0,39,0,0,0,39,39,0,39,39,0,53,0,0,0,0,0,0,0,39,57,0,53,0,0,0,0,39,0,39,39,39,39,39,39,0,0,39,0,53
2013-08,53,39,53,39,0,0,39,0,0,39,0,0,0,39,39,0,39,28,0,0,0,0,0,0,53,39,0,39,78,0,0,0,0,0,0,39,0,39,39,0,39,39,0,0,0,39,0,53
2013-09,32,39,0,0,0,0,32,0,0,32,0,0,0,0,18,0,0,32,0,39,0,0,0,0,53,32,0,32,32,0,53,0,0,0,0,32,0,42,42,32,32,42,32,0,0,47,0,32
2013-10,0,0,32,39,0,0,0,0,0,0,0,0,0,32,0,0,39,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,21,0,0,103,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,103,0,96
2014-03,0,0,103,0,0,0,0,0,0,0,0,0,0,103,0,0,85,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0
2014-04,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,103,0,103,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,91,85,0,0,0,0,53,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,74,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,85,0,0,0,0
2014-12,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,21,0,0,95,0,207,0,0,0,0,11,97,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,96,74,0,85,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,96,96,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,116,0,0,0,0
2015-03,0,0,0,0,0,0,0,81,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,96,15,138,0,21,0,0,11,15,0,0,0,21,0,0,0,0,0,0,15,0,0
2015-04,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,71,38,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,85,0,0,85,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,85,0,58
2015-10,0,0,85,85,0,0,0,0,0,0,0,0,0,85,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,56,0,0,56,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,25,0,45,0,0,0,0,0,0,0,0,52,0,0,52,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,73,0,0,0,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
2016-05,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,61,0,0,0,0,76,0,0,0,0,0,0,0,0,0,15,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,87,0,0,87,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,95
2016-08,0,0,0,0,0,108,0,0,87,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,87,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,102,0,0,0,0,0,0,0,0,0,95,0
